tau,group,judge_flag_rate,tp,fp,fn,tn,precision,recall,specificity,f1,accuracy,balanced_accuracy,kappa
0.3,all,0.8040426726558113,335,1097,28,321,0.23393854748603352,0.9228650137741047,0.22637517630465445,0.3732590529247911,0.36833239752947783,0.5746200950393796,0.07121894734207201
0.3,generated,0.8136645962732919,96,559,5,145,0.1465648854961832,0.9504950495049505,0.2059659090909091,0.253968253968254,0.2993788819875776,0.5782304792979298,0.046717198227896106
0.3,doctor_written,0.7961065573770492,239,538,23,176,0.3075933075933076,0.9122137404580153,0.24649859943977592,0.46005774783445624,0.42520491803278687,0.5793561699488956,0.09783891016219715
0.35,all,0.8119034250421112,338,1108,25,310,0.23374827109266944,0.931129476584022,0.21861777150916784,0.3736871199557767,0.36384053902302077,0.5748736240465949,0.07097498058270746
0.35,generated,0.8173913043478261,96,562,5,142,0.1458966565349544,0.9504950495049505,0.20170454545454544,0.25296442687747034,0.2956521739130435,0.5760997974797479,0.045272852394688035
0.35,doctor_written,0.8073770491803278,242,546,20,168,0.30710659898477155,0.9236641221374046,0.23529411764705882,0.46095238095238095,0.42008196721311475,0.5794791198922317,0.09719425777266444
0.4,all,0.8220101066816395,339,1125,24,293,0.23155737704918034,0.9338842975206612,0.2066290550070522,0.3711001642036125,0.35485682201010665,0.5702566762638567,0.06602121474763167
0.4,generated,0.8236024844720496,97,566,4,138,0.14630467571644043,0.9603960396039604,0.19602272727272727,0.2539267015706807,0.2919254658385093,0.5782093834383438,0.04623628646376787
0.4,doctor_written,0.8206967213114754,242,559,20,155,0.3021223470661673,0.9236641221374046,0.21708683473389356,0.4553151458137347,0.4067622950819672,0.5703754784356491,0.08524290829507719
0.45,all,0.8338012352610893,340,1145,23,273,0.22895622895622897,0.9366391184573003,0.192524682651622,0.367965367965368,0.34418865805727117,0.5645819005544611,0.06008102375859503
0.45,generated,0.8322981366459627,97,573,4,131,0.14477611940298507,0.9603960396039604,0.18607954545454544,0.251621271076524,0.28322981366459626,0.5732377925292529,0.04292057735697419
0.45,doctor_written,0.8350409836065574,243,572,19,142,0.298159509202454,0.9274809160305344,0.19887955182072828,0.45125348189415043,0.3944672131147541,0.5631802339256313,0.07575165200002565
0.5,all,0.8405390230207749,342,1155,21,263,0.22845691382765532,0.9421487603305785,0.1854724964739069,0.36774193548387096,0.33969679955081417,0.5638106284022427,0.05902585902478075
0.5,generated,0.8372670807453416,97,577,4,127,0.14391691394658754,0.9603960396039604,0.18039772727272727,0.25032258064516133,0.2782608695652174,0.5703968834383438,0.04105165389654453
0.5,doctor_written,0.8432377049180327,245,578,17,136,0.2976913730255164,0.9351145038167938,0.19047619047619047,0.45161290322580644,0.39036885245901637,0.5627953471464922,0.07485646192178519
0.55,all,0.8512071869736103,344,1172,19,246,0.22691292875989447,0.9476584022038568,0.17348377997179126,0.36615220862160724,0.3312745648512072,0.560571091087824,0.05552916158143595
0.55,generated,0.853416149068323,97,590,4,114,0.14119359534206696,0.9603960396039604,0.16193181818181818,0.24619289340101524,0.26211180124223604,0.5611639288928892,0.03510329602918694
0.55,doctor_written,0.8493852459016393,247,582,15,132,0.29794933655006034,0.9427480916030534,0.18487394957983194,0.45279560036663613,0.38831967213114754,0.5638110205914426,0.07573998286856387
0.6,all,0.8601909039865244,347,1185,16,233,0.22650130548302871,0.9559228650137741,0.16431593794076163,0.3662269129287599,0.3256597417181359,0.5601194014772679,0.05470391729049828
0.6,generated,0.8621118012422361,97,597,4,107,0.13976945244956773,0.9603960396039604,0.15198863636363635,0.2440251572327044,0.253416149068323,0.5561923379837983,0.03197762246717106
0.6,doctor_written,0.8586065573770492,250,588,12,126,0.29832935560859186,0.9541984732824428,0.17647058823529413,0.45454545454545453,0.38524590163934425,0.5653345307588684,0.0770511026213263
0.65,all,0.8680516563728242,347,1199,16,219,0.2244501940491591,0.9559228650137741,0.15444287729196052,0.3635411210057622,0.31779898933183603,0.5551828711528674,0.049886434137287994
0.65,generated,0.8683229813664596,97,602,4,102,0.13876967095851217,0.9603960396039604,0.14488636363636365,0.24250000000000002,0.24720496894409938,0.5526412016201621,0.029777128969256106
0.65,doctor_written,0.867827868852459,250,597,12,117,0.29515938606847697,0.9541984732824428,0.1638655462184874,0.4508566275924256,0.3760245901639344,0.5590320097504651,0.06917482570048661
0.7,all,0.8742279618192027,350,1207,13,211,0.224791265253693,0.9641873278236914,0.14880112834978843,0.36458333333333337,0.3149915777653004,0.55649422808674,0.05081301345746758
0.7,generated,0.8745341614906832,97,607,4,97,0.1377840909090909,0.9603960396039604,0.1377840909090909,0.2409937888198758,0.24099378881987576,0.5490900652565256,0.027602868231000555
0.7,doctor_written,0.8739754098360656,253,600,9,114,0.2966002344665885,0.9656488549618321,0.15966386554621848,0.45381165919282507,0.3760245901639344,0.5626563602540253,0.07311139804262812
0.75,all,0.8832116788321168,352,1221,11,197,0.22377622377622378,0.9696969696969697,0.1389280677009873,0.36363636363636365,0.3082537900056148,0.5543125186989786,0.0484931167059407
0.75,generated,0.884472049689441,99,613,2,91,0.13904494382022473,0.9801980198019802,0.12926136363636365,0.24354243542435425,0.2360248447204969,0.554729691719172,0.03048325535944052
0.75,doctor_written,0.882172131147541,253,608,9,106,0.2938443670150987,0.9656488549618321,0.1484593837535014,0.45057880676758677,0.367827868852459,0.5570541193576667,0.06620105321267089
0.8,all,0.892756878158338,354,1236,9,182,0.22264150943396227,0.9752066115702479,0.12834978843441466,0.36251920122887865,0.3009545199326221,0.5517782000023312,0.045873561126236195
0.8,generated,0.8981366459627329,101,622,0,82,0.1396957123098202,1.0,0.11647727272727272,0.2451456310679612,0.22732919254658385,0.5582386363636364,0.03202171383058117
0.8,doctor_written,0.8883196721311475,253,614,9,100,0.2918108419838524,0.9656488549618321,0.1400560224089636,0.4481842338352525,0.36168032786885246,0.5528524386853978,0.061068938041618503
0.85,all,0.909601347557552,356,1264,7,154,0.21975308641975308,0.9807162534435262,0.10860366713681241,0.3590519415027736,0.28635597978663674,0.5446599602901693,0.039035440182407566
0.85,generated,0.9142857142857143,101,635,0,69,0.13722826086956522,1.0,0.09801136363636363,0.24133811230585425,0.2111801242236025,0.5490056818181818,0.026542858394288382
0.85,doctor_written,0.9057377049180327,255,629,7,85,0.28846153846153844,0.9732824427480916,0.11904761904761904,0.4450261780104712,0.3483606557377049,0.5461650308978553,0.052716396044438896
0.9,all,0.9241998877035373,356,1290,7,128,0.21628189550425272,0.9807162534435262,0.09026798307475317,0.35440517670482824,0.2717574396406513,0.5354921182591397,0.030665122975636505
0.9,generated,0.924223602484472,101,643,0,61,0.135752688172043,1.0,0.08664772727272728,0.23905325443786982,0.20124223602484473,0.5433238636363636,0.023251820499417875
0.9,doctor_written,0.9241803278688525,255,647,7,67,0.2827050997782705,0.9732824427480916,0.0938375350140056,0.43814432989690716,0.32991803278688525,0.5335599888810486,0.037852569127063584
0.95,all,0.9505895564289725,359,1334,4,84,0.21204961606615474,0.9889807162534435,0.05923836389280677,0.34922178988326846,0.24873666479505896,0.5241095400731252,0.02040599880458005
0.95,generated,0.9527950310559006,101,666,0,38,0.1316818774445893,1.0,0.05397727272727273,0.23271889400921658,0.17267080745341615,0.5269886363636364,0.014115327892667784
0.95,doctor_written,0.9487704918032787,258,668,4,46,0.2786177105831533,0.9847328244274809,0.06442577030812324,0.4343434343434343,0.3114754098360656,0.5245792973678021,0.027277149603122886
