variant,group,n_sentences,judge_flag_rate,expert_flag_rate,auroc_1_minus_pe,auroc_pc,precision,recall,specificity,f1,kappa,best_f1_tau,best_f1,best_kappa_tau,best_kappa,summary_spearman,summary_spearman_p
max3,all,1781,0.8405390230207749,0.2038180797304885,0.6543428256147834,0.5196130428532018,0.22845691382765532,0.9421487603305785,0.1854724964739069,0.36774193548387096,0.05902585902478075,0.05,0.3806146572104019,0.05,0.08889494180898339,0.19634057692495077,0.004288591801415411
max3,generated,805,0.8372670807453416,0.12546583850931678,0.6821557155715572,0.5024049279927993,0.14391691394658754,0.9603960396039604,0.18039772727272727,0.25032258064516133,0.04105165389654453,0.05,0.2635228848821082,0.05,0.060879021893159524,0.20451765651139253,0.0412417262627725
max3,doctor_written,976,0.8432377049180327,0.26844262295081966,0.6630663715868026,0.5249454743729552,0.2976913730255164,0.9351145038167938,0.19047619047619047,0.45161290322580644,0.07485646192178519,0.1,0.4676113360323887,0.05,0.12424589537991593,0.20205325608151445,0.0342743457894116
concat3,all,1781,0.7647389107243122,0.2038180797304885,0.6607704173417727,0.5702489052598041,0.24082232011747431,0.9035812672176309,0.27080394922425954,0.3802898550724637,0.08616822492707876,0.05,0.39831697054698456,0.05,0.13567553258882514,0.19762752984052753,0.004037547761666338
concat3,generated,805,0.7403726708074534,0.12546583850931678,0.7110570432043204,0.5802345859585959,0.15604026845637584,0.9207920792079208,0.28551136363636365,0.266857962697274,0.06657242116393958,0.05,0.3082437275985663,0.05,0.12930541700758813,0.2046790678246494,0.0410784363688528
concat3,doctor_written,976,0.7848360655737705,0.26844262295081966,0.6402030277759958,0.5514973164838455,0.30678851174934724,0.8969465648854962,0.25630252100840334,0.4571984435797666,0.09525138551094459,0.55,0.46390760346487003,0.05,0.13019047475189938,0.08829505506133052,0.359006002850745
concat5,all,1781,0.8029197080291971,0.2038180797304885,0.6541135809952325,0.569978862868977,0.23286713286713287,0.9173553719008265,0.22637517630465445,0.3714445064138316,0.06865684246083703,0.05,0.39971850809289233,0.05,0.13814090145022417,0.2687118446841126,8.028817817037483e-05
concat5,generated,805,0.7677018633540372,0.12546583850931678,0.7021686543654365,0.5991505400540054,0.15372168284789645,0.9405940594059405,0.2571022727272727,0.26425591098748263,0.06193070299300163,0.05,0.2972477064220183,0.05,0.11666957944286704,0.23703165779195032,0.01757465602072179
concat5,doctor_written,976,0.8319672131147541,0.26844262295081966,0.6286296961532704,0.5401912673466334,0.29310344827586204,0.9083969465648855,0.19607843137254902,0.44320297951582865,0.06276817142416702,0.05,0.46347031963470325,0.05,0.13974945615482715,0.11370092314203364,0.2369190827592683
maxall,all,1781,0.9174620999438517,0.2038180797304885,0.6496219406528421,0.4905961137208733,0.21664626682986537,0.9752066115702479,0.09732016925246827,0.35453179769654486,0.031498840055974364,0.1,0.359079283887468,0.1,0.04061368931108067,0.19494876144541312,0.004575830344876844
maxall,generated,805,0.9192546583850931,0.12546583850931678,0.6524246174617462,0.49077407740774076,0.13648648648648648,1.0,0.09232954545454546,0.2401902497027348,0.02488981564854742,0.1,0.24484848484848484,0.1,0.03159437472604487,0.37523205057529657,0.00011972439714557559
maxall,doctor_written,976,0.9159836065573771,0.26844262295081966,0.6703524921418949,0.4906745140804413,0.2829977628635347,0.9656488549618321,0.10224089635854341,0.43771626297577854,0.03849651409518029,0.1,0.44247787610619466,0.1,0.05118139397081689,0.0739921242726044,0.44235364353490103
concat_ctx,all,1781,0.9955081414935429,0.2038180797304885,0.5769144839859034,0.49935597803914256,0.2041737168640722,0.9972451790633609,0.004936530324400564,0.33895131086142327,0.0008923257600860213,0.05,0.3431952662721894,0.05,0.012811069802977748,-0.05971495802315978,0.389262552628322
concat_ctx,generated,805,1.0,0.12546583850931678,0.5500534428442844,0.5568041179117912,0.12546583850931678,1.0,0.0,0.2229580573951435,,0.05,0.22980659840728104,0.05,0.009908454887825768,,
concat_ctx,doctor_written,976,0.9918032786885246,0.26844262295081966,0.5474132401052023,0.518846088053542,0.26962809917355374,0.9961832061068703,0.00980392156862745,0.424390243902439,0.003231166912850747,0.1,0.43053173241852494,0.05,0.02643169122618938,-0.016095163145344094,0.867456661927267
