doc_id,condition,n_source_sents,n_claims,coverage_at_0_5,coverage_at_0_6,coverage_at_0_7,mean_best_similarity
0,E0,40,11,0.3,0.1,0.025,0.381743848323822
0,E1,40,9,0.2,0.125,0.1,0.33759161829948425
0,E1b,40,7,0.25,0.15,0.05,0.3493553698062897
0,E2,40,5,0.3,0.125,0.125,0.41671937704086304
0,E3,40,7,0.25,0.15,0.125,0.3760509192943573
1,E0,51,9,0.11764705882352941,0.0784313725490196,0.0784313725490196,0.3351990282535553
1,E1,51,11,0.09803921568627451,0.058823529411764705,0.0196078431372549,0.31590139865875244
1,E1b,51,10,0.1568627450980392,0.11764705882352941,0.058823529411764705,0.3403078317642212
1,E2,51,5,0.13725490196078433,0.09803921568627451,0.09803921568627451,0.40487566590309143
1,E3,51,4,0.11764705882352941,0.0784313725490196,0.0392156862745098,0.32270094752311707
2,E0,40,11,0.375,0.125,0.025,0.4191523492336273
2,E1,40,7,0.225,0.125,0.05,0.36522749066352844
2,E1b,40,9,0.3,0.1,0.05,0.39511096477508545
2,E2,40,5,0.3,0.2,0.125,0.4870445728302002
2,E3,40,8,0.35,0.275,0.15,0.46487361192703247
3,E0,44,10,0.5,0.2727272727272727,0.13636363636363635,0.47544363141059875
3,E1,44,10,0.36363636363636365,0.22727272727272727,0.045454545454545456,0.4366375803947449
3,E1b,44,10,0.36363636363636365,0.29545454545454547,0.18181818181818182,0.4667997360229492
3,E2,44,5,0.4090909090909091,0.22727272727272727,0.1590909090909091,0.4826027750968933
3,E3,44,6,0.20454545454545456,0.13636363636363635,0.09090909090909091,0.40719330310821533
4,E0,40,11,0.575,0.35,0.125,0.5051273107528687
4,E1,40,10,0.425,0.375,0.25,0.509087324142456
4,E1b,40,10,0.55,0.375,0.2,0.5159638524055481
4,E2,40,5,0.375,0.2,0.175,0.49391183257102966
4,E3,40,7,0.35,0.3,0.2,0.494589239358902
5,E0,27,10,0.3333333333333333,0.18518518518518517,0.037037037037037035,0.4293038845062256
5,E1,27,11,0.48148148148148145,0.25925925925925924,0.18518518518518517,0.4561499357223511
5,E1b,27,11,0.48148148148148145,0.37037037037037035,0.18518518518518517,0.4642719328403473
5,E2,27,5,0.37037037037037035,0.2962962962962963,0.2222222222222222,0.4954260587692261
5,E3,27,5,0.37037037037037035,0.2962962962962963,0.07407407407407407,0.41138628125190735
6,E0,33,10,0.3939393939393939,0.09090909090909091,0.030303030303030304,0.4290481209754944
6,E1,33,9,0.36363636363636365,0.15151515151515152,0.0,0.4249509274959564
6,E1b,33,10,0.45454545454545453,0.24242424242424243,0.18181818181818182,0.49381348490715027
6,E2,33,5,0.5757575757575758,0.36363636363636365,0.24242424242424243,0.5667243599891663
6,E3,33,4,0.21212121212121213,0.09090909090909091,0.030303030303030304,0.37951555848121643
7,E0,30,11,0.3333333333333333,0.23333333333333334,0.1,0.44165003299713135
7,E1,30,8,0.16666666666666666,0.03333333333333333,0.0,0.3506365716457367
7,E1b,30,9,0.26666666666666666,0.2,0.1,0.4328780770301819
7,E2,30,5,0.26666666666666666,0.23333333333333334,0.23333333333333334,0.5017101168632507
7,E3,30,5,0.23333333333333334,0.1,0.06666666666666667,0.378682404756546
8,E0,52,9,0.2692307692307692,0.15384615384615385,0.019230769230769232,0.38014405965805054
8,E1,52,10,0.28846153846153844,0.1346153846153846,0.057692307692307696,0.3808482885360718
8,E1b,52,9,0.2692307692307692,0.1346153846153846,0.057692307692307696,0.3912537693977356
8,E2,52,3,0.15384615384615385,0.11538461538461539,0.09615384615384616,0.3725261390209198
8,E3,52,7,0.28846153846153844,0.15384615384615385,0.019230769230769232,0.3770323097705841
9,E0,62,10,0.12903225806451613,0.04838709677419355,0.0,0.3796127736568451
9,E1,62,11,0.12903225806451613,0.06451612903225806,0.03225806451612903,0.3745981454849243
9,E1b,62,12,0.16129032258064516,0.06451612903225806,0.04838709677419355,0.3895088732242584
9,E2,62,4,0.14516129032258066,0.0967741935483871,0.0967741935483871,0.38053491711616516
9,E3,62,8,0.1935483870967742,0.1935483870967742,0.04838709677419355,0.34338244795799255
10,E0,32,10,0.125,0.03125,0.0,0.36195701360702515
10,E1,32,7,0.09375,0.03125,0.0,0.30504560470581055
10,E1b,32,9,0.125,0.03125,0.0,0.34162938594818115
10,E2,32,5,0.1875,0.15625,0.15625,0.4339488446712494
10,E3,32,3,0.09375,0.0625,0.03125,0.30426377058029175
11,E0,24,12,0.7083333333333334,0.5,0.375,0.5951101779937744
11,E1,24,10,0.5416666666666666,0.3333333333333333,0.125,0.515872061252594
11,E1b,24,11,0.6666666666666666,0.5416666666666666,0.375,0.5983145833015442
11,E2,24,5,0.5416666666666666,0.2916666666666667,0.25,0.5602187514305115
11,E3,24,8,0.5833333333333334,0.4583333333333333,0.375,0.5389761328697205
12,E0,79,12,0.45569620253164556,0.3037974683544304,0.08860759493670886,0.4979603886604309
12,E1,79,8,0.4430379746835443,0.17721518987341772,0.05063291139240506,0.459094375371933
12,E1b,79,12,0.4430379746835443,0.2911392405063291,0.08860759493670886,0.49895942211151123
12,E2,79,5,0.27848101265822783,0.1518987341772152,0.06329113924050633,0.4332113564014435
12,E3,79,6,0.4050632911392405,0.20253164556962025,0.10126582278481013,0.47312965989112854
13,E0,33,12,0.42424242424242425,0.24242424242424243,0.09090909090909091,0.49159008264541626
13,E1,33,8,0.24242424242424243,0.12121212121212122,0.0,0.3906957805156708
13,E1b,33,12,0.48484848484848486,0.30303030303030304,0.06060606060606061,0.4905700087547302
13,E2,33,5,0.3333333333333333,0.18181818181818182,0.18181818181818182,0.47808802127838135
13,E3,33,4,0.21212121212121213,0.18181818181818182,0.06060606060606061,0.38913774490356445
14,E0,59,8,0.3559322033898305,0.2033898305084746,0.0847457627118644,0.4144946336746216
14,E1,59,9,0.23728813559322035,0.1694915254237288,0.06779661016949153,0.3742722272872925
14,E1b,59,10,0.3050847457627119,0.2033898305084746,0.1016949152542373,0.4189937114715576
14,E2,59,5,0.3898305084745763,0.2711864406779661,0.15254237288135594,0.47189706563949585
14,E3,59,6,0.288135593220339,0.2033898305084746,0.11864406779661017,0.4121688902378082
15,E0,38,11,0.47368421052631576,0.2631578947368421,0.10526315789473684,0.510094940662384
15,E1,38,11,0.23684210526315788,0.10526315789473684,0.0,0.43301302194595337
15,E1b,38,8,0.42105263157894735,0.18421052631578946,0.13157894736842105,0.49002084136009216
15,E2,38,5,0.3157894736842105,0.18421052631578946,0.13157894736842105,0.4900113046169281
15,E3,38,8,0.39473684210526316,0.2894736842105263,0.15789473684210525,0.4781986176967621
16,E0,15,10,0.7333333333333333,0.4666666666666667,0.3333333333333333,0.5543565154075623
16,E1,15,9,0.3333333333333333,0.13333333333333333,0.13333333333333333,0.45439913868904114
16,E1b,15,9,0.3333333333333333,0.26666666666666666,0.2,0.4819576144218445
16,E2,15,5,0.5333333333333333,0.4,0.4,0.6151396036148071
16,E3,15,5,0.3333333333333333,0.26666666666666666,0.2,0.4495549499988556
17,E0,58,11,0.1206896551724138,0.05172413793103448,0.017241379310344827,0.36480969190597534
17,E1,58,8,0.13793103448275862,0.034482758620689655,0.0,0.3395925462245941
17,E1b,58,11,0.15517241379310345,0.06896551724137931,0.017241379310344827,0.36993205547332764
17,E2,58,5,0.22413793103448276,0.1206896551724138,0.08620689655172414,0.42378413677215576
17,E3,58,5,0.15517241379310345,0.05172413793103448,0.0,0.32719916105270386
18,E0,48,11,0.16666666666666666,0.125,0.041666666666666664,0.35414090752601624
18,E1,48,8,0.22916666666666666,0.125,0.041666666666666664,0.36477622389793396
18,E1b,48,11,0.22916666666666666,0.16666666666666666,0.0625,0.3806696832180023
18,E2,48,4,0.20833333333333334,0.125,0.10416666666666667,0.4278506338596344
18,E3,48,5,0.20833333333333334,0.125,0.041666666666666664,0.380666583776474
19,E0,37,10,0.40540540540540543,0.2702702702702703,0.08108108108108109,0.42416295409202576
19,E1,37,9,0.35135135135135137,0.2702702702702703,0.08108108108108109,0.4045756161212921
19,E1b,37,9,0.3783783783783784,0.24324324324324326,0.08108108108108109,0.4055400490760803
19,E2,37,5,0.43243243243243246,0.1891891891891892,0.16216216216216217,0.5034788250923157
19,E3,37,5,0.3783783783783784,0.1891891891891892,0.13513513513513514,0.4697498083114624
20,E0,69,8,0.18840579710144928,0.14492753623188406,0.08695652173913043,0.3925878405570984
20,E1,69,9,0.2608695652173913,0.18840579710144928,0.08695652173913043,0.417564332485199
20,E1b,69,9,0.2753623188405797,0.11594202898550725,0.10144927536231885,0.4276014566421509
20,E2,69,5,0.2753623188405797,0.13043478260869565,0.11594202898550725,0.43366649746894836
20,E3,69,4,0.18840579710144928,0.13043478260869565,0.08695652173913043,0.3602256774902344
21,E0,56,10,0.21428571428571427,0.08928571428571429,0.05357142857142857,0.3765574097633362
21,E1,56,10,0.21428571428571427,0.10714285714285714,0.05357142857142857,0.37199831008911133
21,E1b,56,11,0.23214285714285715,0.10714285714285714,0.0,0.3819139897823334
21,E2,56,5,0.23214285714285715,0.10714285714285714,0.08928571428571429,0.40237662196159363
21,E3,56,9,0.23214285714285715,0.14285714285714285,0.07142857142857142,0.36851075291633606
22,E0,35,12,0.37142857142857144,0.2,0.08571428571428572,0.4413734972476959
22,E1,35,10,0.3142857142857143,0.17142857142857143,0.02857142857142857,0.40757399797439575
22,E1b,35,11,0.3142857142857143,0.2,0.11428571428571428,0.42478418350219727
22,E2,35,6,0.3142857142857143,0.2,0.17142857142857143,0.49590498208999634
22,E3,35,6,0.22857142857142856,0.11428571428571428,0.02857142857142857,0.357514351606369
23,E0,97,11,0.23711340206185566,0.030927835051546393,0.010309278350515464,0.378304660320282
23,E1,97,8,0.09278350515463918,0.041237113402061855,0.010309278350515464,0.3432120084762573
23,E1b,97,10,0.17525773195876287,0.05154639175257732,0.020618556701030927,0.38033348321914673
23,E2,97,5,0.28865979381443296,0.20618556701030927,0.07216494845360824,0.43628162145614624
23,E3,97,7,0.15463917525773196,0.05154639175257732,0.030927835051546393,0.3534564673900604
24,E0,76,9,0.10526315789473684,0.039473684210526314,0.02631578947368421,0.32089751958847046
24,E1,76,10,0.06578947368421052,0.02631578947368421,0.013157894736842105,0.3003503978252411
24,E1b,76,10,0.11842105263157894,0.05263157894736842,0.039473684210526314,0.33184126019477844
24,E2,76,5,0.17105263157894737,0.11842105263157894,0.09210526315789473,0.40428581833839417
24,E3,76,7,0.09210526315789473,0.05263157894736842,0.02631578947368421,0.3028368055820465
25,E0,62,10,0.16129032258064516,0.12903225806451613,0.06451612903225806,0.29860126972198486
25,E1,62,8,0.16129032258064516,0.11290322580645161,0.08064516129032258,0.2992607355117798
25,E1b,62,10,0.1935483870967742,0.0967741935483871,0.04838709677419355,0.31953781843185425
25,E2,62,5,0.0967741935483871,0.08064516129032258,0.08064516129032258,0.32226958870887756
25,E3,62,3,0.06451612903225806,0.06451612903225806,0.016129032258064516,0.21879711747169495
26,E0,15,13,0.4,0.13333333333333333,0.0,0.4534360468387604
26,E1,15,9,0.2,0.2,0.06666666666666667,0.4034779369831085
26,E1b,15,13,0.5333333333333333,0.26666666666666666,0.06666666666666667,0.5118476152420044
26,E2,15,5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5705543756484985
26,E3,15,4,0.26666666666666666,0.26666666666666666,0.13333333333333333,0.4372824728488922
27,E0,129,11,0.14728682170542637,0.08527131782945736,0.031007751937984496,0.34888315200805664
27,E1,129,10,0.11627906976744186,0.06976744186046512,0.046511627906976744,0.3300969898700714
27,E1b,129,11,0.17054263565891473,0.09302325581395349,0.031007751937984496,0.3588819205760956
27,E2,129,5,0.1937984496124031,0.08527131782945736,0.046511627906976744,0.4003552496433258
27,E3,129,8,0.12403100775193798,0.07751937984496124,0.05426356589147287,0.3375105857849121
28,E0,61,10,0.3114754098360656,0.19672131147540983,0.06557377049180328,0.41229525208473206
28,E1,61,7,0.21311475409836064,0.14754098360655737,0.03278688524590164,0.36201703548431396
28,E1b,61,10,0.26229508196721313,0.21311475409836064,0.08196721311475409,0.40188610553741455
28,E2,61,4,0.18032786885245902,0.13114754098360656,0.08196721311475409,0.4080692529678345
28,E3,61,7,0.22950819672131148,0.18032786885245902,0.08196721311475409,0.37098151445388794
29,E0,63,10,0.14285714285714285,0.031746031746031744,0.0,0.3556956350803375
29,E1,63,8,0.1111111111111111,0.015873015873015872,0.0,0.3371216654777527
29,E1b,63,9,0.09523809523809523,0.0,0.0,0.33200448751449585
29,E2,63,5,0.25396825396825395,0.12698412698412698,0.09523809523809523,0.42457741498947144
29,E3,63,4,0.15873015873015872,0.06349206349206349,0.047619047619047616,0.3292089104652405
30,E0,27,11,0.25925925925925924,0.07407407407407407,0.037037037037037035,0.3883584439754486
30,E1,27,8,0.18518518518518517,0.07407407407407407,0.0,0.3134401738643646
30,E1b,27,9,0.25925925925925924,0.1111111111111111,0.037037037037037035,0.3377208113670349
30,E2,27,5,0.25925925925925924,0.2222222222222222,0.2222222222222222,0.48881566524505615
