condition,metric,mean_before,mean_after,median_before,median_after,n_claims_before,n_claims_after,n_headers,headers_contradicted,headers_not_supported,headers_supported
E0,UFR,0.796697385947386,0.8109211344211343,0.80625,0.8181818181818182,653,522,131,59,38,34
E0,CR,0.2262155344655344,0.17205905205905211,0.22252747252747251,0.17424242424242425,653,522,131,59,38,34
E1,UFR,0.8069693084693084,0.8069206349206349,0.8321678321678322,0.8285714285714285,478,447,31,18,8,5
E1,CR,0.15359584859584857,0.1299963924963925,0.13392857142857142,0.1111111111111111,478,447,31,18,8,5
E1b,UFR,0.7585980685980686,0.7585980685980686,0.7777777777777778,0.7777777777777778,510,510,0,0,0,0
E1b,CR,0.14789987789987788,0.14789987789987788,0.1111111111111111,0.1111111111111111,510,510,0,0,0,0
E2,UFR,0.122,0.122,0.0,0.0,242,242,0,0,0,0
E2,CR,0.09633333333333333,0.09633333333333333,0.0,0.0,242,242,0,0,0,0
E3,UFR,0.724484126984127,0.6883253968253967,0.775,0.7321428571428572,337,295,0,0,0,0
E3,CR,0.27454761904761904,0.1635079365079365,0.2857142857142857,0.16666666666666666,337,295,0,0,0,0
