judge,model,mode,group,n,expert_rate,auroc,tau_from_other_subset,flag_rate,precision,recall,specificity,f1,kappa,kappa_at_0_5,flag_rate_at_0_5
minilm_nli,cross-encoder/nli-MiniLM2-L6-H768,top3,all,1781,0.2038180797304885,0.6607713887172793,0.05,0.523301516002246,0.2778969957081545,0.7134986225895317,0.5253878702397743,0.3999999999999999,0.150896786833423,0.0861682249270787,0.7647389107243122
minilm_nli,cross-encoder/nli-MiniLM2-L6-H768,top3,generated,805,0.1254658385093167,0.7110570432043204,0.05,0.5167701863354037,0.1947115384615384,0.801980198019802,0.5241477272727273,0.3133462282398452,0.1396284242502703,0.0665724211639395,0.7403726708074534
minilm_nli,cross-encoder/nli-MiniLM2-L6-H768,top3,doctor_written,976,0.2684426229508196,0.6402030277759958,0.05,0.5286885245901639,0.3449612403100775,0.6793893129770993,0.5266106442577031,0.4575835475578406,0.1576295035832324,0.0952513855109445,0.7848360655737705
minilm_nli,cross-encoder/nli-MiniLM2-L6-H768,doc,all,1781,0.2038180797304885,0.5764132542245121,0.05,0.5833801235261089,0.2377285851780558,0.6804407713498623,0.4414668547249647,0.3523537803138373,0.0720168387419604,0.0024359774640033,0.9842784952274004
minilm_nli,cross-encoder/nli-MiniLM2-L6-H768,doc,generated,805,0.1254658385093167,0.5732729522952296,0.05,0.4993788819875776,0.1492537313432835,0.594059405940594,0.5142045454545454,0.2385685884691848,0.0475609417041743,0.0010727353512324,0.996273291925466
minilm_nli,cross-encoder/nli-MiniLM2-L6-H768,doc,doctor_written,976,0.2684426229508196,0.5525504094767678,0.05,0.6526639344262295,0.2935635792778649,0.7137404580152672,0.3697478991596639,0.4160177975528364,0.0574575635167647,0.0077191917895338,0.9743852459016392
deberta_large_nli,MoritzLaurer/DeBERTa-v3-large-mnli-fever-anli-ling-wanli,top3,all,1781,0.2038180797304885,0.7497435568662648,0.05,0.4183043234138124,0.3583892617449664,0.7355371900826446,0.6629055007052186,0.4819494584837545,0.2863457588877455,0.2436709229210852,0.5244244806288602
deberta_large_nli,MoritzLaurer/DeBERTa-v3-large-mnli-fever-anli-ling-wanli,top3,generated,805,0.1254658385093167,0.7636701170117012,0.05,0.3714285714285714,0.2474916387959866,0.7326732673267327,0.6803977272727273,0.3699999999999999,0.224547212941797,0.1873601502018981,0.4732919254658385
deberta_large_nli,MoritzLaurer/DeBERTa-v3-large-mnli-fever-anli-ling-wanli,top3,doctor_written,976,0.2684426229508196,0.7364674877584622,0.05,0.4569672131147541,0.4327354260089686,0.7366412213740458,0.6456582633053222,0.5451977401129944,0.3127722477826565,0.2684844601596304,0.5665983606557377
deberta_large_nli,MoritzLaurer/DeBERTa-v3-large-mnli-fever-anli-ling-wanli,doc,all,1781,0.2038180797304885,0.7768216204874752,0.2,0.2498596294216732,0.4382022471910112,0.5371900826446281,0.8236953455571228,0.4826732673267327,0.3329097885442187,0.3315759125414614,0.3380123526108927
deberta_large_nli,MoritzLaurer/DeBERTa-v3-large-mnli-fever-anli-ling-wanli,doc,generated,805,0.1254658385093167,0.7866856998199819,0.2,0.1937888198757764,0.3269230769230769,0.504950495049505,0.8508522727272727,0.3968871595330739,0.2885164763104925,0.2996572330482488,0.2658385093167701
deberta_large_nli,MoritzLaurer/DeBERTa-v3-large-mnli-fever-anli-ling-wanli,doc,doctor_written,976,0.2684426229508196,0.753942416661321,0.55,0.4108606557377049,0.4463840399002494,0.683206106870229,0.6890756302521008,0.5399698340874812,0.3187539476936315,0.325316408714694,0.3975409836065574
ce_deberta_large_nli,cross-encoder/nli-deberta-v3-large,top3,all,1781,0.2038180797304885,0.6919913974985138,0.6,0.6165075800112296,0.2823315118397085,0.8539944903581267,0.4442877291960507,0.4243668720054757,0.1701330771408609,0.1682170365715106,0.6120157215047726
ce_deberta_large_nli,cross-encoder/nli-deberta-v3-large,top3,generated,805,0.1254658385093167,0.7259085283528353,0.6,0.5652173913043478,0.1824175824175824,0.8217821782178217,0.4715909090909091,0.2985611510791367,0.1172997441448534,0.1180678576156047,0.5639751552795031
ce_deberta_large_nli,cross-encoder/nli-deberta-v3-large,top3,doctor_written,976,0.2684426229508196,0.6789376055765818,0.9,0.6844262295081968,0.3458083832335329,0.8816793893129771,0.3879551820728291,0.4967741935483871,0.1809026482655726,0.1914342101387375,0.6516393442622951
ce_deberta_large_nli,cross-encoder/nli-deberta-v3-large,doc,all,1781,0.2038180797304885,0.6370542843488093,0.05,0.4418865805727119,0.2744599745870394,0.5950413223140496,0.5973201692524682,0.3756521739130435,0.1340950766122153,0.1144370136489074,0.6406513194834362
ce_deberta_large_nli,cross-encoder/nli-deberta-v3-large,doc,generated,805,0.1254658385093167,0.6731688793879388,0.05,0.4360248447204969,0.1851851851851851,0.6435643564356436,0.59375,0.2876106194690265,0.1151974003099421,0.0990161955107743,0.6037267080745342
