sid,n_ref_sents,expert_spans,UFR,CR
doc_0,12,5,0.25,0.0
doc_1,8,2,0.625,0.125
doc_2,8,0,0.0,0.0
doc_3,7,1,0.2857142857142857,0.0
doc_4,9,1,0.3333333333333333,0.2222222222222222
doc_5,16,3,0.375,0.0625
doc_6,9,3,0.3333333333333333,0.1111111111111111
doc_7,6,10,0.3333333333333333,0.0
doc_8,6,9,0.3333333333333333,0.0
doc_9,7,3,0.0,0.0
doc_10,6,3,0.16666666666666666,0.0
doc_11,6,2,0.16666666666666666,0.16666666666666666
doc_12,8,3,0.375,0.0
doc_13,6,4,0.3333333333333333,0.16666666666666666
doc_14,8,1,0.375,0.375
doc_15,9,1,0.4444444444444444,0.1111111111111111
doc_16,8,1,0.0,0.0
doc_17,6,1,0.0,0.0
doc_18,9,4,0.1111111111111111,0.0
doc_19,14,3,0.35714285714285715,0.07142857142857142
doc_20,6,5,0.3333333333333333,0.0
doc_21,16,2,0.1875,0.0
doc_22,7,2,0.42857142857142855,0.0
doc_23,11,3,0.09090909090909091,0.0
doc_24,11,1,0.18181818181818182,0.09090909090909091
doc_25,6,1,0.5,0.0
doc_26,12,1,0.5,0.0
doc_27,13,4,0.46153846153846156,0.15384615384615385
doc_28,9,4,0.1111111111111111,0.1111111111111111
doc_29,6,1,0.0,0.0
doc_30,14,3,0.42857142857142855,0.2857142857142857
doc_31,7,1,0.2857142857142857,0.14285714285714285
doc_32,6,1,0.16666666666666666,0.0
doc_33,9,3,0.5555555555555556,0.0
doc_34,11,2,0.18181818181818182,0.0
doc_35,8,1,0.375,0.25
doc_36,12,5,0.25,0.0
doc_37,14,0,0.35714285714285715,0.07142857142857142
doc_38,6,3,0.3333333333333333,0.0
doc_39,7,3,0.5714285714285714,0.42857142857142855
doc_40,15,6,0.26666666666666666,0.06666666666666667
doc_41,20,6,0.45,0.05
doc_42,8,1,0.125,0.0
doc_43,8,2,0.375,0.0
doc_44,6,2,0.3333333333333333,0.16666666666666666
doc_45,8,2,0.125,0.125
doc_46,6,1,0.0,0.0
doc_47,5,3,0.2,0.0
doc_48,7,1,0.14285714285714285,0.14285714285714285
doc_49,9,7,0.7777777777777778,0.2222222222222222
doc_50,9,4,0.5555555555555556,0.1111111111111111
doc_51,7,1,0.0,0.0
doc_52,11,5,0.2727272727272727,0.0
doc_53,10,0,0.3,0.0
doc_54,9,5,0.4444444444444444,0.0
doc_55,8,5,0.625,0.5
doc_56,8,6,0.625,0.0
doc_57,8,0,0.125,0.0
doc_58,11,5,0.18181818181818182,0.0
doc_59,9,4,0.3333333333333333,0.1111111111111111
doc_60,8,1,0.25,0.0
doc_61,7,3,0.14285714285714285,0.0
doc_62,8,1,0.25,0.125
doc_63,12,8,0.25,0.25
doc_64,9,3,0.2222222222222222,0.0
doc_65,10,2,0.0,0.0
doc_66,8,2,0.5,0.125
doc_67,5,3,0.2,0.0
doc_68,5,2,0.4,0.2
doc_69,11,4,0.45454545454545453,0.0
doc_70,7,0,0.0,0.0
doc_71,6,0,0.3333333333333333,0.0
doc_72,6,2,0.6666666666666666,0.6666666666666666
doc_73,9,1,0.2222222222222222,0.2222222222222222
doc_74,13,2,0.46153846153846156,0.07692307692307693
doc_75,10,2,0.2,0.1
doc_76,8,4,0.375,0.125
doc_77,8,5,0.375,0.25
doc_78,10,6,0.4,0.2
doc_79,7,1,0.42857142857142855,0.0
doc_80,12,4,0.3333333333333333,0.0
doc_81,8,2,0.375,0.125
doc_82,8,1,0.0,0.0
doc_83,7,3,0.42857142857142855,0.0
doc_84,9,7,0.5555555555555556,0.4444444444444444
doc_85,8,4,0.375,0.125
doc_86,8,5,0.375,0.25
doc_87,10,1,0.4,0.0
doc_88,10,2,0.2,0.0
doc_89,13,4,0.3076923076923077,0.15384615384615385
doc_90,9,1,0.0,0.0
doc_91,7,5,0.42857142857142855,0.0
doc_92,11,2,0.2727272727272727,0.0
doc_93,5,3,0.4,0.2
doc_94,7,2,0.14285714285714285,0.0
doc_95,7,0,0.14285714285714285,0.0
doc_96,6,1,0.0,0.0
doc_97,14,9,0.2857142857142857,0.07142857142857142
doc_98,8,2,0.25,0.0
doc_99,12,4,0.5,0.3333333333333333
val_0,9,2,0.3333333333333333,0.0
val_1,6,4,0.3333333333333333,0.0
val_2,7,0,0.0,0.0
val_3,11,6,0.36363636363636365,0.09090909090909091
val_4,14,2,0.14285714285714285,0.14285714285714285
val_5,9,1,0.2222222222222222,0.0
val_6,8,2,0.125,0.0
val_7,11,1,0.2727272727272727,0.09090909090909091
val_8,6,3,0.16666666666666666,0.0
val_9,8,2,0.125,0.0
