condition,variant,n_docs,UFR_mean,UFR_median,CR_mean,CR_median,claims_mean,abstentions_mean,words_mean,coverage_ref_mean,citation_accuracy_mean,cited_claims,cite_correct,judge,mode,tau
E0,base,110,0.13475090927481131,0.125,0.029076228508184355,0.0,16.01818181818182,0.0,261.46363636363634,0.5431865609138337,,0,0,deberta_large_nli,doc,0.2
E1,base,110,0.06614453728090092,0.0,0.026876885740522105,0.0,8.39090909090909,0.02727272727272727,150.93636363636364,0.368833275310548,0.7177665871543422,459,324,deberta_large_nli,doc,0.2
E1,bm25,110,0.07343499934409024,0.0,0.033955463728191,0.0,8.945454545454545,0.02727272727272727,160.47272727272727,0.396605931946841,0.7481214116852415,438,329,deberta_large_nli,doc,0.2
E1,chunk3,110,0.07501803751803751,0.0,0.04698412698412699,0.0,6.572727272727272,0.01818181818181818,124.5909090909091,0.2964426356471811,0.7676984126984127,340,251,deberta_large_nli,doc,0.2
E1,chunk8,110,0.06343213604577241,0.0,0.021908344181071456,0.0,10.554545454545455,0.01818181818181818,178.45454545454547,0.4283910533910534,0.7177466685361422,498,354,deberta_large_nli,doc,0.2
E1,nocite,110,0.09614107223732893,0.09090909090909091,0.020096813465797423,0.0,10.472727272727273,0.0,170.54545454545453,0.3882826390780936,,0,0,deberta_large_nli,doc,0.2
E1,top2,110,0.08412968344786527,0.0,0.04405099950554496,0.0,7.463636363636364,0.00909090909090909,137.88181818181818,0.3111354806809352,0.7679908103592313,356,273,deberta_large_nli,doc,0.2
E1,top5,110,0.07477166995215125,0.027777777777777776,0.027290137818212684,0.0,10.263636363636364,0.03636363636363636,174.8181818181818,0.44121745678563856,0.6065961192365686,458,265,deberta_large_nli,doc,0.2
E1b,base,110,0.07218998321939499,0.058823529411764705,0.03108328985334333,0.0,13.827272727272728,0.01818181818181818,227.9181818181818,0.5323234467552649,0.3806915908309097,241,94,deberta_large_nli,doc,0.2
E2,base,110,0.056363636363636366,0.0,0.050909090909090904,0.0,4.872727272727273,0.0,86.71818181818182,0.22454738443374805,,0,0,deberta_large_nli,doc,0.2
E3,base,110,0.06951528269710087,0.0,0.03175423061786698,0.0,7.909090909090909,0.6727272727272727,149.74545454545455,0.33633395644759284,,0,0,deberta_large_nli,doc,0.2
REF,base,110,0.28860501871865507,0.3038461538461539,0.08009380770744406,0.0,8.872727272727273,0.0,132.6090909090909,0.9835992668947214,,0,0,deberta_large_nli,doc,0.2
